# stan_version_major = 2
# stan_version_minor = 28
# stan_version_patch = 1
# model = simple_regression_model
# start_datetime = 2021-11-19 20:54:33 UTC
# method = sample (Default)
#   sample
#     num_samples = 4000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/nc/dhtws2m1317bwzbsxq9n3_gc0000gn/T/tmp9myfn_9w/s8i_3cwj.json
# init = 2 (Default)
# random
#   seed = 1
# output
#   file = /Users/leevi/repos/bda-project/inference/simple_regression-202111192254-1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.28.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,beta.13,beta.14,beta.15,beta.16,beta.17,beta.18,alpha
# Adaptation terminated
# Step size = 0.11757
# Diagonal elements of inverse mass matrix:
# 0.0136173, 0.0138888, 0.0118749, 0.013463, 0.0126246, 0.0781819, 0.0702101, 0.0615243, 0.246044, 0.26055, 0.274179, 0.261449, 0.237412, 0.233385, 0.286068, 0.347396, 0.353434, 0.388187, 0.484964
-310.331,0.874341,0.11757,5,63,0,318.545,0.0573585,0.126042,-0.58058,-0.304572,0.398876,1.60425,1.2765,0.733889,-0.105124,-0.270818,-0.168617,-0.581023,-0.656229,1.14412,-0.319463,-0.728209,1.91564,0.102311,-2.38265
-311.179,0.978748,0.11757,5,31,0,319.136,0.128529,0.0530624,-0.296494,-0.0238832,0.510068,1.03166,0.845167,0.92191,-0.942333,-0.335591,-0.955325,-1.28013,-1.00159,0.377319,-0.477898,-1.50503,0.734389,-0.746921,0.358452
-311.176,0.996572,0.11757,5,63,0,321.862,0.128513,-0.0860605,-0.276474,0.0368565,0.460546,1.1219,1.0352,0.943667,-0.476849,-0.329797,-0.939497,-1.11979,-0.970587,0.645812,-0.225655,-1.73894,0.6319,-0.632488,-0.0445643
-310.827,0.979017,0.11757,5,31,0,321.299,0.321345,-0.0727558,-0.357448,-0.0850258,0.24946,1.67673,0.885796,0.984228,-0.359436,-0.333488,0.34213,-0.644925,-0.295581,1.39737,0.0460031,-1.48643,0.770087,-0.203072,-1.7074
-316.993,0.926755,0.11757,5,31,0,326.599,0.27361,-0.15001,-0.251414,-0.116126,0.213332,1.81303,0.970676,0.841198,-0.293452,-0.162481,0.411319,-0.593031,-0.840015,1.34364,0.121458,-1.56954,0.763202,0.17644,-1.75734
-317.928,1,0.11757,5,31,0,326.875,-0.209483,0.186987,-0.682355,-0.1303,0.6804,0.951855,1.29502,0.474792,-0.168803,-0.158975,-0.271972,-1.4282,-1.14708,0.225898,-0.815142,-1.54359,0.778404,-0.615736,0.133628
-314.727,0.414382,0.11757,5,31,0,331.362,0.320328,0.0799897,-0.39874,-0.264776,0.217948,1.78632,0.798235,1.24883,-0.465978,-0.270968,-0.179501,-1.07175,-0.922674,0.876895,0.115478,-1.0987,1.3446,0.0104807,-1.47269
-315.498,0.928207,0.11757,5,63,0,330.825,0.013793,0.0770186,-0.535058,-0.0791121,0.590429,0.718214,0.64999,0.467455,-1.39107,-1.46171,-0.986567,-0.486186,-0.328416,1.52835,-0.491318,-0.667249,1.73216,0.519725,-0.564451
-310.046,0.921287,0.11757,5,31,0,320.125,0.209215,0.143986,-0.476101,-0.216539,0.510653,1.75381,1.17782,0.793332,-1.05971,-0.73063,-1.15186,-0.434044,-0.356961,1.24099,0.181643,-1.19079,1.29373,-0.401152,-1.22596
-312.105,0.946041,0.11757,5,47,0,319.169,0.0564086,0.15974,-0.49427,-0.0806513,0.553799,1.48686,1.05737,1.23558,-0.565769,-1.27304,-0.0237467,-0.504196,-0.842805,0.955692,-0.282991,-1.44996,1.00362,-0.50438,-1.08934
